Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Classic ExpressRoute Gateway,,Classic ExpressRoute Gateway,,Modern,14/08/2014,31/08/2024,-724,Out of Support
,Classic Reserved IP Addresses,,Original Release,,Modern,12/05/2014,31/08/2024,-724,Out of Support
,Classic Storage Accounts,,Original Release,,Modern,01/02/2010,31/08/2024,-724,Out of Support
,Classic Virtual Network,,Classic Virtual Network,,Modern,14/08/2014,31/08/2024,-724,Out of Support
,Classic VPN Gateway,,Classic VPN Gateway,,Modern,14/08/2014,31/08/2024,-724,Out of Support
,Cloud Platform System,Standard,Original Release,,Fixed,29/01/2015,12/07/2022,-1505,Out of Support
,Cognitive Service,,,Azure AI - Health Insights,,,31/12/2025,-237,Out of Support
,Cognitive Service,,,Language Understanding (LUIS),,,31/10/2025,-298,Out of Support
,Cognitive Service,,,QnAMaker,,,31/03/2025,-512,Out of Support
,Cosmos DB account,,,Support for TLS 1.0 and 1.1,,,31/08/2025,-359,Out of Support
,Cosmos DB account,,,Version 2.6.13,,,01/10/2024,-693,Out of Support
,Cosmos DB account,,,Version 4.15,,,01/10/2024,-693,Out of Support
,Duet Enterprise for Microsoft SharePoint and SAP,,Original Release,,Fixed,16/03/2011,31/12/2017,-3159,Out of Support
,Duet Enterprise for Microsoft SharePoint and SAP,,version 2.0,,Fixed,14/10/2012,31/12/2017,-3159,Out of Support
,Duet for Microsoft Office and SAP,,Original Release,,Fixed,28/10/2006,10/01/2012,-5341,Out of Support
,Dynamics 365 Business Central,,Original Release,,Modern,01/11/2016,31/12/2099,26791,Out of Support
,Dynamics 365 Business Central on-premises (Fixed Policy),,"Fall 2018 Update, version 13.x",,Fixed,01/10/2018,14/04/2020,-2324,Out of Support
,Dynamics 365 Business Central on-premises (Fixed Policy),,"Spring 2019 Update, version 14.x",,Fixed,01/04/2019,14/10/2025,-315,Out of Support
,Dynamics 365 Business Central on-premises (Modern Policy),,"2019 release wave 2, version 15.x",,Modern,01/10/2019,13/04/2021,-1960,Out of Support
,Dynamics 365 Business Central on-premises (Modern Policy),,"2020 release wave 1, version 16.x",,Modern,01/04/2020,12/04/2022,-1596,Out of Support
,Dynamics 365 Business Central on-premises (Modern Policy),,"2020 release wave 2, version 17.x",,Modern,01/10/2020,12/04/2022,-1596,Out of Support
,Dynamics 365 Business Central on-premises (Modern Policy),,"2021 release wave 1, version 18.x",,Modern,01/04/2021,11/10/2022,-1414,Out of Support
,Dynamics 365 Business Central on-premises (Modern Policy),,"2021 release wave 2, version 19.x",,Modern,01/10/2021,12/04/2023,-1231,Out of Support
,Dynamics 365 Business Central on-premises (Modern Policy),,"2022 release wave 1, version 20.x",,Modern,01/04/2022,10/10/2023,-1050,Out of Support
,Dynamics 365 Business Central on-premises (Modern Policy),,"2022 release wave 2, version 21.x",,Modern,03/10/2022,14/04/2024,-863,Out of Support
,Dynamics 365 Business Central on-premises (Modern Policy),,"2023 release wave 1, version 22.x",,Modern,03/04/2023,08/10/2024,-686,Out of Support
