Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Microsoft Word 2010,Standard,Original Release,,Fixed,15/07/2010,13/10/2020,-2142,Out of Support
,Microsoft Word for Mac 2011,,Original Release,,Fixed,09/12/2010,10/10/2017,-3241,Out of Support
,Microsoft Workflow Manager 1.0,Client,Original Release,,Fixed,18/10/2012,10/01/2023,-1323,Out of Support
,Microsoft Workflow Manager 1.0,Standard,Original Release,,Fixed,18/10/2012,10/01/2023,-1323,Out of Support
,Microsoft Works,,Microsoft Works 8,,Fixed,08/10/2004,12/01/2010,-6069,Out of Support
,Microsoft Works,,Microsoft Works 9,,Fixed,28/09/2007,09/10/2012,-5068,Out of Support
,Microsoft Works,,MIcrosoft Works Plus 2008,,Fixed,14/11/2007,08/01/2013,-4977,Out of Support
,Microsoft Works,,Microsoft Works Suite 2004,,Fixed,25/10/2003,09/01/2007,-7168,Out of Support
,Microsoft Works,,Microsoft Works Suite 2005,,Fixed,31/03/2005,08/04/2008,-6713,Out of Support
,Microsoft Works,,Microsoft Works Suite 2006,,Fixed,16/12/2005,13/01/2009,-6433,Out of Support
,Microsoft XML Core Services 4.0,,Service Pack 3,,Fixed,28/12/2009,12/04/2014,-4518,Out of Support
,Office 2013 version of Office 365 ProPlus,,Original Release,,Modern,22/09/2015,28/02/2017,-3465,Out of Support
,"Office 365 (Enterprise, Government, Education)",,Original Release,,Modern,22/09/2015,31/12/2099,26791,Out of Support
,Office Live Meeting,Standard,Original Release,,Modern,10/04/2009,31/12/2017,-3159,Out of Support
,Office Online Server,,Original Release,,Modern,04/05/2016,31/12/2099,26791,Out of Support
,Office XP,Developer,Original Release,,Fixed,31/05/2001,31/12/2002,-8638,Out of Support
,Office XP,Developer,Service Pack 1,,Fixed,31/12/2001,21/08/2003,-8405,Out of Support
,Office XP,Developer,Service Pack 2,,Fixed,21/08/2002,09/03/2005,-7839,Out of Support
,Office XP,Developer,Service Pack 3,,Fixed,09/03/2004,12/07/2011,-5523,Out of Support
,Office XP,Professional,Original Release,,Fixed,31/05/2001,31/12/2002,-8638,Out of Support
,Office XP,Professional,Service Pack 1,,Fixed,31/12/2001,21/08/2003,-8405,Out of Support
,Office XP,Professional,Service Pack 2,,Fixed,21/08/2002,09/03/2005,-7839,Out of Support
,Office XP,Professional,Service Pack 3,,Fixed,09/03/2004,12/07/2011,-5523,Out of Support
,Office XP,Proofing Tools,Original Release,,Fixed,31/05/2001,31/12/2002,-8638,Out of Support
,Office XP,Proofing Tools,Service Pack 1,,Fixed,31/12/2001,21/08/2003,-8405,Out of Support
,Office XP,Proofing Tools,Service Pack 2,,Fixed,21/08/2002,09/03/2005,-7839,Out of Support
,Office XP,Proofing Tools,Service Pack 3,,Fixed,09/03/2004,12/07/2011,-5523,Out of Support
,Office XP,Standard,Original Release,,Fixed,31/05/2001,31/12/2002,-8638,Out of Support
,Office XP,Standard,Service Pack 1,,Fixed,31/12/2001,21/08/2003,-8405,Out of Support
,Office XP,Standard,Service Pack 2,,Fixed,21/08/2002,09/03/2005,-7839,Out of Support
,Office XP,Standard,Service Pack 3,,Fixed,09/03/2004,12/07/2011,-5523,Out of Support
,Office XP,Web Components,Original Release,,Fixed,31/05/2001,31/12/2002,-8638,Out of Support
,Office XP,Web Components,Service Pack 1,,Fixed,31/12/2001,21/08/2003,-8405,Out of Support
,Office XP,Web Components,Service Pack 2,,Fixed,21/08/2002,09/03/2005,-7839,Out of Support
,Office XP,Web Components,Service Pack 3,,Fixed,09/03/2004,12/07/2011,-5523,Out of Support
,OneDrive for Business,,Original Release,,Modern,31/05/2001,31/12/2099,26791,Out of Support
,OneDrive for Consumer,,Original Release,,Modern,31/05/2001,31/12/2099,26791,Out of Support
,OneNote 2016,,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Outlook 2010,Standard,Original Release,,Fixed,15/07/2010,13/10/2020,-2142,Out of Support
,Outlook 2010,with Business Contact Manager,Original Release,,Fixed,15/07/2010,13/10/2020,-2142,Out of Support
,Outlook 2011 for Mac,,Original Release,,Fixed,09/12/2010,10/10/2017,-3241,Out of Support
,Outlook 2013,Standard,Original Release,,Fixed,09/01/2013,11/04/2023,-1232,Out of Support
,Outlook 2016,Standard,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Outlook 2016 for Mac,,Original Release,,Fixed,27/09/2015,13/10/2020,-2142,Out of Support
,Outlook 2019,Standard,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Outlook 2019 for Mac,,Original Release,,Fixed,24/09/2018,10/10/2023,-1050,Out of Support
,"Parature, from Microsoft",,Original Release,,Modern,01/01/2015,15/05/2018,-3024,Out of Support
,PixelSense Applications Suite 1.0,,Original Release,,Fixed,01/01/2009,14/01/2014,-4606,Out of Support
,PixelSense Applications Suite 1.0,,Service Pack 1,,Fixed,09/08/2009,08/01/2019,-2786,Out of Support
,PixelSense Commercial Hardware 1.0,,Original Release,,Fixed,25/09/2008,08/10/2013,-4704,Out of Support
,PolicyMaker,Application Security,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,PolicyMaker,Outlook Edition,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,PolicyMaker,Professional 9.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,PolicyMaker,Registry Extension 2.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,PolicyMaker,Share Manager 1.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,PolicyMaker,Software Update 1.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,PolicyMaker,Software Update 2.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,PolicyMaker,Standard 1.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,PolicyMaker,Standard 2.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,PostgreSQL server,,,Single server,,,28/03/2025,-515,Out of Support
,Power BI Report Server,,Original Release,,Modern,12/06/2017,31/12/2099,26791,Out of Support
,PowerPoint 2011 for Mac,,Original Release,,Fixed,09/12/2010,10/10/2017,-3241,Out of Support
,PowerPoint 2013,Standard,Original Release,,Fixed,09/01/2013,11/04/2023,-1232,Out of Support
,PowerPoint 2016,Standard,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,PowerPoint 2016 for Mac,,Original Release,,Fixed,27/09/2015,13/10/2020,-2142,Out of Support
,PowerPoint 2019,Standard,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,PowerPoint 2019 for Mac,,Original Release,,Fixed,24/09/2018,10/10/2023,-1050,Out of Support
,PowerShell,,PowerShell 7.0 (LTS),,Modern,04/03/2020,03/12/2022,-1361,Out of Support
,PowerShell,,PowerShell 7.1,,Modern,11/11/2020,08/05/2022,-1570,Out of Support
,PowerShell,,PowerShell 7.2 (LTS),,Modern,08/11/2021,08/11/2024,-655,Out of Support
,PowerShell,,PowerShell 7.3,,Modern,09/11/2022,08/05/2024,-839,Out of Support
,PowerShell,,PowerShell Core 6.0,,Modern,20/01/2018,13/02/2019,-2750,Out of Support
,PowerShell,,PowerShell Core 6.1,,Modern,13/09/2018,28/09/2019,-2523,Out of Support
,PowerShell,,PowerShell Core 6.2,,Modern,28/03/2019,04/09/2020,-2181,Out of Support
,Project 2010,Professional,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Project 2010,Professional,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Project 2010,Professional,Service Pack 2,,Fixed,19/07/2013,13/10/2020,-2142,Out of Support
,Project 2010,Standard,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Project 2010,Standard,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Project 2010,Standard,Service Pack 2,,Fixed,19/07/2013,13/10/2020,-2142,Out of Support
,Project 2013,Professional,Original Release,,Fixed,09/01/2013,11/04/2023,-1232,Out of Support
,Project 2013,Standard,Original Release,,Fixed,09/01/2013,11/04/2023,-1232,Out of Support
,Project 2016,Professional,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Project 2016,Standard,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Project 2019,Professional,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Project 2019,Standard,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Project for the web,,Original Release,,Modern,29/10/2019,31/12/2099,26791,Out of Support
,Project Online Desktop Client,,Original Release,,Modern,22/09/2015,31/12/2099,26791,Out of Support
,Project Server 2010,,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Project Server 2010,,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Project Server 2010,,Service Pack 2,,Fixed,19/07/2013,13/04/2021,-1960,Out of Support
,Project Server 2013,,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Project Server 2013,,Service Pack 1,,Fixed,17/04/2014,11/04/2023,-1232,Out of Support
,Project Server Subscription Edition,,Original Release,,Modern,02/11/2021,31/12/2099,26791,Out of Support
,Public IP address,,,Basic SKU,,,30/09/2025,-329,Out of Support
,Publisher 2010,Standard,Original Release,,Fixed,15/07/2010,13/10/2020,-2142,Out of Support
,Publisher 2013,Standard,Original Release,,Fixed,09/01/2013,11/04/2023,-1232,Out of Support
,Publisher 2016,Standard,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Publisher 2019,Standard,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,SAP HANA Large Instances (HLIs),,Original Release,,Modern,26/09/2016,30/06/2025,-421,Out of Support
,Scheduler for Microsoft 365,,Original Release,,Modern,08/06/2021,01/09/2023,-1089,Out of Support
,Secured Dimensions SecureLM,.NET,Original Release,,Fixed,30/03/2007,10/01/2012,-5341,Out of Support
,Secured Dimensions SecureLM,Code Protector,Original Release,,Fixed,30/03/2007,10/01/2012,-5341,Out of Support
,Secured Dimensions SecureLM,Server,Original Release,,Fixed,30/03/2007,10/01/2012,-5341,Out of Support
,Service Bus for Windows Server,,Original Release,,Component,18/10/2012,10/01/2023,-1323,Out of Support
,Service Fabric stand-alone package for Windows Server,,Original Release,,Modern,26/09/2016,31/12/2099,26791,Out of Support
,SharePoint Designer 2013,Designer,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,SharePoint Foundation 2010,,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,SharePoint Foundation 2010,,Service Pack 1,,Fixed,24/06/2011,14/10/2014,-4333,Out of Support
,SharePoint Foundation 2010,,Service Pack 2,,Fixed,21/07/2013,13/04/2021,-1960,Out of Support
,SharePoint Foundation 2013,,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,SharePoint Foundation 2013,,Service Pack 1,,Fixed,17/04/2014,11/04/2023,-1232,Out of Support
,SharePoint Server 2013,,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,SharePoint Server 2013,,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,SharePoint Server Subscription Edition,,Original Release,,Modern,02/11/2021,31/12/2099,26791,Out of Support
,SharePoint Team Services 1.0,,Original Release,,Fixed,31/05/2001,31/12/2002,-8638,Out of Support
,SharePoint Team Services 1.0,,Service Pack 1,,Fixed,31/12/2001,21/08/2003,-8405,Out of Support
,SharePoint Team Services 1.0,,Service Pack 2,,Fixed,21/08/2002,09/03/2005,-7839,Out of Support
,SharePoint Team Services 1.0,,Service Pack 3,,Fixed,09/03/2004,12/07/2011,-5523,Out of Support
,SharePoint Workflow Manager,,Original Release,,Component,26/12/2022,31/12/2099,26791,Out of Support
,Silverlight 4,,Original Release,,Fixed,15/04/2010,08/01/2013,-4977,Out of Support
,Silverlight 5,,Original Release,,Fixed,09/12/2011,12/10/2021,-1778,Out of Support
,Skype for Business 2015,,Original Release,,Fixed,09/01/2013,11/04/2023,-1232,Out of Support
,Skype for Business 2016,,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Skype for Business 2019,,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Skype for Business Online,,Original Release,,Modern,01/05/2015,31/07/2021,-1851,Out of Support
,Skype for Business Server 2015,,Original Release,,Fixed,30/07/2015,14/10/2025,-315,Out of Support
,Skype for Business Server 2019,,Original Release,,Fixed,22/10/2018,14/10/2025,-315,Out of Support
,Skype Room Systems v2,,Original Release,,Modern,18/11/2016,31/12/2099,26791,Out of Support
,SoftGrid Application Virtualization,4.1 for Desktops,Original Release,,Fixed,25/05/2007,11/07/2017,-3332,Out of Support
,SoftGrid Application Virtualization,4.2 for Desktops,Original Release,,Fixed,25/05/2007,11/07/2017,-3332,Out of Support
,SoftGrid Application Virtualization,for Terminal Services 4.1,Original Release,,Fixed,25/05/2007,11/07/2017,-3332,Out of Support
,Softgrid for Terminal Server (MDOP),,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,Software Licensing and Protection Server,Enterprise,Original Release,,Fixed,30/12/2007,09/01/2018,-3150,Out of Support
,Software Licensing and Protection Server,Standard,Original Release,,Fixed,30/12/2007,09/01/2018,-3150,Out of Support
,Solution,,,Entire service,,,30/09/2025,-329,Out of Support
,SQL server,,,Support for TLS 1.0 and 1.1,,,31/08/2025,-359,Out of Support
,SQL Server 2014,Business Intelligence,Extended Security Updates Year 1,,Fixed,10/07/2024,08/07/2025,-413,Out of Support
,SQL Server 2014,Business Intelligence,Original Release,,Fixed,05/06/2014,12/07/2016,-3696,Out of Support
,SQL Server 2014,Business Intelligence,Service Pack 1,,Fixed,14/04/2015,10/10/2017,-3241,Out of Support
,SQL Server 2014,Business Intelligence,Service Pack 2,,Fixed,14/07/2016,14/01/2020,-2415,Out of Support
,SQL Server 2014,Business Intelligence,Service Pack 3,,Fixed,30/10/2018,09/07/2024,-777,Out of Support
,SQL Server 2014,Developer,Extended Security Updates Year 1,,Fixed,10/07/2024,08/07/2025,-413,Out of Support
,SQL Server 2014,Developer,Original Release,,Fixed,05/06/2014,12/07/2016,-3696,Out of Support
,SQL Server 2014,Developer,Service Pack 1,,Fixed,14/04/2015,10/10/2017,-3241,Out of Support
,SQL Server 2014,Developer,Service Pack 2,,Fixed,14/07/2016,14/01/2020,-2415,Out of Support
,SQL Server 2014,Developer,Service Pack 3,,Fixed,30/10/2018,09/07/2024,-777,Out of Support
,SQL Server 2014,Enterprise,Extended Security Updates Year 1,,Fixed,10/07/2024,08/07/2025,-413,Out of Support
,SQL Server 2014,Enterprise,Original Release,,Fixed,05/06/2014,12/07/2016,-3696,Out of Support
,SQL Server 2014,Enterprise,Service Pack 1,,Fixed,14/04/2015,10/10/2017,-3241,Out of Support
,SQL Server 2014,Enterprise,Service Pack 2,,Fixed,14/07/2016,14/01/2020,-2415,Out of Support
,SQL Server 2014,Enterprise,Service Pack 3,,Fixed,30/10/2018,09/07/2024,-777,Out of Support
,SQL Server 2014,Enterprise Core,Extended Security Updates Year 1,,Fixed,10/07/2024,08/07/2025,-413,Out of Support
,SQL Server 2014,Enterprise Core,Original Release,,Fixed,05/06/2014,12/07/2016,-3696,Out of Support
,SQL Server 2014,Enterprise Core,Service Pack 1,,Fixed,14/04/2015,10/10/2017,-3241,Out of Support
,SQL Server 2014,Enterprise Core,Service Pack 2,,Fixed,14/07/2016,14/01/2020,-2415,Out of Support
,SQL Server 2014,Enterprise Core,Service Pack 3,,Fixed,30/10/2018,09/07/2024,-777,Out of Support
,SQL Server 2014,Express,Extended Security Updates Year 1,,Fixed,10/07/2024,08/07/2025,-413,Out of Support
,SQL Server 2014,Express,Original Release,,Fixed,05/06/2014,12/07/2016,-3696,Out of Support
,SQL Server 2014,Express,Service Pack 1,,Fixed,14/04/2015,10/10/2017,-3241,Out of Support
,SQL Server 2014,Express,Service Pack 2,,Fixed,14/07/2016,14/01/2020,-2415,Out of Support
,SQL Server 2014,Express,Service Pack 3,,Fixed,30/10/2018,09/07/2024,-777,Out of Support
,SQL Server 2014,Standard,Extended Security Updates Year 1,,Fixed,10/07/2024,08/07/2025,-413,Out of Support
,SQL Server 2014,Standard,Original Release,,Fixed,05/06/2014,12/07/2016,-3696,Out of Support
,SQL Server 2014,Standard,Service Pack 1,,Fixed,14/04/2015,10/10/2017,-3241,Out of Support
,SQL Server 2014,Standard,Service Pack 2,,Fixed,14/07/2016,14/01/2020,-2415,Out of Support
,SQL Server 2014,Standard,Service Pack 3,,Fixed,30/10/2018,09/07/2024,-777,Out of Support
,SQL Server 2014,Web,Extended Security Updates Year 1,,Fixed,10/07/2024,08/07/2025,-413,Out of Support
,SQL Server 2014,Web,Original Release,,Fixed,05/06/2014,12/07/2016,-3696,Out of Support
,SQL Server 2014,Web,Service Pack 1,,Fixed,14/04/2015,10/10/2017,-3241,Out of Support
,SQL Server 2014,Web,Service Pack 2,,Fixed,14/07/2016,14/01/2020,-2415,Out of Support
,SQL Server 2014,Web,Service Pack 3,,Fixed,30/10/2018,09/07/2024,-777,Out of Support
,SQL Server 2016,Developer,Original Release,,Fixed,01/06/2016,09/01/2018,-3150,Out of Support
,SQL Server 2016,Developer,Service Pack 1,,Fixed,16/11/2016,09/07/2019,-2604,Out of Support
,SQL Server 2016,Developer,Service Pack 2,,Fixed,24/04/2018,11/10/2022,-1414,Out of Support
,SQL Server 2016,Enterprise,Original Release,,Fixed,01/06/2016,09/01/2018,-3150,Out of Support
,SQL Server 2016,Enterprise,Service Pack 1,,Fixed,16/11/2016,09/07/2019,-2604,Out of Support
,SQL Server 2016,Enterprise,Service Pack 2,,Fixed,24/04/2018,11/10/2022,-1414,Out of Support
,SQL Server 2016,Enterprise Core,Original Release,,Fixed,01/06/2016,09/01/2018,-3150,Out of Support
,SQL Server 2016,Enterprise Core,Service Pack 1,,Fixed,16/11/2016,09/07/2019,-2604,Out of Support
,SQL Server 2016,Enterprise Core,Service Pack 2,,Fixed,24/04/2018,11/10/2022,-1414,Out of Support
,SQL Server 2016,Express,Original Release,,Fixed,01/06/2016,09/01/2018,-3150,Out of Support
,SQL Server 2016,Express,Service Pack 1,,Fixed,16/11/2016,09/07/2019,-2604,Out of Support
,SQL Server 2016,Express,Service Pack 2,,Fixed,24/04/2018,11/10/2022,-1414,Out of Support
,SQL Server 2016,Standard,Original Release,,Fixed,01/06/2016,09/01/2018,-3150,Out of Support
,SQL Server 2016,Standard,Service Pack 1,,Fixed,16/11/2016,09/07/2019,-2604,Out of Support
,SQL Server 2016,Standard,Service Pack 2,,Fixed,24/04/2018,11/10/2022,-1414,Out of Support
,SQL Server 2016,Web,Original Release,,Fixed,01/06/2016,09/01/2018,-3150,Out of Support
,SQL Server 2016,Web,Service Pack 1,,Fixed,16/11/2016,09/07/2019,-2604,Out of Support
,SQL Server 2016,Web,Service Pack 2,,Fixed,24/04/2018,11/10/2022,-1414,Out of Support
,SQL Server Management Studio,,Original Release,,Modern,27/05/2016,31/12/2099,26791,Out of Support
,Storage Account,,,Support for TLS 1.0 and 1.1,,,03/02/2026,-203,Out of Support
,StorSimple 5000/7000 Series,,Original Release,,Fixed,15/11/2012,09/07/2019,-2604,Out of Support
,StorSimple Data Manager,,Original Release,,Fixed,18/01/2018,31/12/2022,-1333,Out of Support
,System Center Data Protection Manager Semi Annual Channel,,Version 1801,,Modern,08/02/2018,08/08/2019,-2574,Out of Support
,System Center Data Protection Manager Semi Annual Channel,,Version 1807,,Modern,24/07/2018,24/01/2020,-2405,Out of Support
,System Center Endpoint Protection,,Original Release,,Modern,08/12/2015,31/12/2099,26791,Out of Support
,System Center Operations Manager 2007,,Original Release,,Fixed,23/06/2007,14/04/2009,-6342,Out of Support
,System Center Operations Manager 2007,,Service Pack 1,,Fixed,22/02/2008,09/07/2019,-2604,Out of Support
,System Center Operations Manager 2007 R2,,Original Release,,Fixed,20/08/2009,09/07/2019,-2604,Out of Support
,System Center Operations Manager Semi Annual Channel,,Version 1801,,Modern,08/02/2018,08/08/2019,-2574,Out of Support
,System Center Operations Manager Semi Annual Channel,,Version 1807,,Modern,24/07/2018,24/01/2020,-2405,Out of Support
,System Center Orchestrator Semi Annual Channel,,Version 1801,,Modern,08/02/2018,08/08/2019,-2574,Out of Support
,System Center Orchestrator Semi Annual Channel,,Version 1807,,Modern,24/07/2018,24/01/2020,-2405,Out of Support
,System Center Reporting Manager 2006,,Original Release,,Fixed,17/09/2006,11/10/2016,-3605,Out of Support
,System Center Service Manager 2010,,Original Release,,Fixed,29/06/2010,13/10/2020,-2142,Out of Support
,System Center Service Manager Semi Annual Channel,,Version 1801,,Modern,08/02/2018,08/08/2019,-2574,Out of Support
,System Center Service Manager Semi Annual Channel,,Version 1807,,Modern,24/07/2018,24/01/2020,-2405,Out of Support
,System Center Virtual Machine Manager Semi Annual Channel,,Version 1801,,Modern,08/02/2018,08/08/2019,-2574,Out of Support
,System Center Virtual Machine Manager Semi Annual Channel,,Version 1807,,Modern,24/07/2018,24/01/2020,-2405,Out of Support
,"Test Agent, Controller",,Original Release,,Component,15/01/2014,09/04/2024,-868,Out of Support
,User Experience Virtualization (UE-V) 1.0,,Original Release,,Fixed,03/01/2013,08/04/2014,-4522,Out of Support
,User Experience Virtualization (UE-V) 1.0,,Service Pack 1,,Fixed,01/04/2013,10/01/2023,-1323,Out of Support
,User Experience Virtualization (UE-V) 2.0,,Original Release,,Fixed,06/02/2014,09/04/2024,-868,Out of Support
,User Experience Virtualization (UE-V) 2.1,,Original Release,,Fixed,08/03/2015,11/10/2016,-3605,Out of Support
,User Experience Virtualization (UE-V) 2.1,,Service Pack 1,,Fixed,03/08/2015,14/04/2026,-133,Out of Support
,Virtual machine,,,Standard_NC24rs_v3,,,31/03/2025,-512,Out of Support
,Virtual machine,,,"Standard_NC6s_v3, Standard_NC12s_v3, and Standard_NC24s_v3",,,30/09/2025,-329,Out of Support
,Virtual machine,,,Unmanaged Disks,,,31/03/2026,-147,Out of Support
,Virtual machine scale set,,,Windows Server 2019,,,01/03/2026,-177,Out of Support
,Virtual network gateway,,,Standard and High-Performance SKUs,,,31/03/2026,-147,Out of Support
,Virtual PC 2004,Express,Original Release,,Fixed,20/01/2004,09/10/2007,-6895,Out of Support
,Virtual PC 2004,Express,Service Pack 1,,Fixed,30/08/2006,08/04/2014,-4522,Out of Support
,Virtual PC 2004,Standard,Original Release,,Fixed,20/01/2004,09/10/2007,-6895,Out of Support
,Virtual PC 2004,Standard,Service Pack 1,,Fixed,30/08/2006,08/04/2014,-4522,Out of Support
,Virtual PC 2007,,Original Release,,Fixed,05/05/2007,14/07/2009,-6251,Out of Support
,Virtual PC 2007,,Service Pack 1,,Fixed,03/07/2008,11/07/2017,-3332,Out of Support
,Virtual PC for Mac,,Original Release,,Fixed,12/11/2003,13/01/2009,-6433,Out of Support
,Virtual Server 2005,Enterprise,Original Release,,Fixed,29/10/2004,13/01/2015,-4242,Out of Support
,Virtual Server 2005,Management Pack,Original Release,,Fixed,29/10/2004,13/01/2015,-4242,Out of Support
,Virtual Server 2005,Standard,Original Release,,Fixed,29/10/2004,13/01/2015,-4242,Out of Support
,Virtual Server 2005 R2,Enterprise,Original Release,,Fixed,28/01/2006,08/07/2008,-6622,Out of Support
,Virtual Server 2005 R2,Enterprise,Service Pack 1,,Fixed,16/04/2007,13/01/2015,-4242,Out of Support
,Virtual Server 2005 R2,Standard,Original Release,,Fixed,28/01/2006,08/07/2008,-6622,Out of Support
,Virtual Server 2005 R2,Standard,Service Pack 1,,Fixed,16/04/2007,13/01/2015,-4242,Out of Support
,Virtual WAN hubs running on Cloud Services,,Original Release,,Modern,03/09/2018,01/07/2024,-785,Out of Support
,Visio 2003,Professional,Original Release,,Fixed,17/11/2003,27/07/2005,-7699,Out of Support
,Visio 2003,Professional,Service Pack 1,,Fixed,28/07/2004,10/10/2006,-7259,Out of Support
,Visio 2003,Professional,Service Pack 2,,Fixed,27/09/2005,14/10/2008,-6524,Out of Support
,Visio 2003,Professional,Service Pack 3,,Fixed,17/09/2007,08/04/2014,-4522,Out of Support
,Visio 2003,Standard,Original Release,,Fixed,17/11/2003,27/07/2005,-7699,Out of Support
,Visio 2003,Standard,Service Pack 1,,Fixed,28/07/2004,10/10/2006,-7259,Out of Support
,Visio 2003,Standard,Service Pack 2,,Fixed,27/09/2005,14/10/2008,-6524,Out of Support
,Visio 2003,Standard,Service Pack 3,,Fixed,17/09/2007,08/04/2014,-4522,Out of Support
,Visio 2007,Professional,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Visio 2007,Professional,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Visio 2007,Professional,Service Pack 2,,Fixed,24/04/2009,08/01/2013,-4977,Out of Support
,Visio 2007,Professional,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Visio 2007,Standard,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Visio 2007,Standard,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Visio 2007,Standard,Service Pack 2,,Fixed,24/04/2009,08/01/2013,-4977,Out of Support
,Visio 2007,Standard,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Visio 2010,Premium,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Visio 2010,Premium,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Visio 2010,Premium,Service Pack 2,,Fixed,19/07/2013,13/10/2020,-2142,Out of Support
,Visio 2010,Professional,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Visio 2010,Professional,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Visio 2010,Professional,Service Pack 2,,Fixed,19/07/2013,13/10/2020,-2142,Out of Support
,Visio 2010,Standard,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Visio 2010,Standard,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Visio 2010,Standard,Service Pack 2,,Fixed,19/07/2013,13/10/2020,-2142,Out of Support
,Visio 2013,Professional,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Visio 2013,Professional,Service Pack 1,,Fixed,18/02/2014,11/04/2023,-1232,Out of Support
,Visio 2013,Standard,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Visio 2013,Standard,Service Pack 1,,Fixed,18/02/2014,11/04/2023,-1232,Out of Support
,Visio 2016,Professional,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Visio 2016,Standard,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Visio 2019,Professional,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Visio 2019,Standard,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Visio Plan 2,,Original Release,,Modern,18/10/2017,31/12/2099,26791,Out of Support
,Visio Services in SharePoint (in Microsoft 365),,Original Release,,Modern,16/04/2010,30/09/2020,-2155,Out of Support
,Visual J# .NET Version 1.1 Redistributable Package,,Original Release,,Fixed,08/07/2003,09/07/2013,-4795,Out of Support
,Visual Studio 2008,Academic,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,Academic,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2008,All,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,All,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
